stop_name,lat,lon,time_mins,main_mode
LEGAZPI,40.39116,-3.69505,28.083333333333332,metro
CONDE DE CASAL,40.40697,-3.67041,20.933333333333334,metro
Méndez Alvaro pares,40.39594,-3.68087,29.833333333333332,metro
Marcelo Usera pares,40.38529,-3.71618,36.43333333333333,metro
USERA,40.3871,-3.7069,30.4,metro
PACIFICO,40.40207,-3.67386,22.65,metro
MENDEZ ALVARO,40.39538,-3.67814,24.666666666666668,metro
Doctor Esquerdo,40.40707,-3.66999,22.35,metro
Ascensor,40.40701,-3.67071,21.25,metro
Doctor Esquerdo pares,40.4087,-3.67022,23.533333333333335,metro
Ascensor exterior 1,40.41461,-3.66974,20.483333333333334,metro
ODONNELL,40.42289,-3.6686,17.183333333333334,metro
SAINZ DE BARANDA,40.41507,-3.66951,18.983333333333334,metro
Moneda impares,40.41469,-3.66929,20.883333333333333,metro
Moneda pares,40.41479,-3.66973,20.766666666666666,metro
República Argentina,40.44495,-3.68488,9.966666666666667,metro
Casa de la Moneda,40.42266,-3.6691,18.283333333333335,metro
REPUBLICA ARGENTINA,40.44379,-3.68406,10.3,metro
O´Donnell,40.4215,-3.66917,20.05,metro
MANUEL BECERRA,40.4279,-3.66921,15.75,metro
J. Juan / Dr. Esquerdo impares,40.42282,-3.66859,18.133333333333333,metro
DIEGO DE LEON,40.43295,-3.67294,14.0,metro
Joaquín Costa impares,40.44369,-3.6837,11.3,metro
Joaquín Costa pares,40.44336,-3.68394,11.283333333333333,metro
NUEVOS MINISTERIOS,40.44662,-3.69241,0.5333333333333333,metro
Orense,40.44707,-3.69538,4.75,metro
Centro Comercial,40.44695,-3.69314,1.9833333333333334,metro
Pº de la Castellana impares,40.44592,-3.6917,2.1,metro
Ascensor nº2,40.44656,-3.69301,1.5666666666666667,metro
Pº de la Castellana impares (Bulevar),40.44662,-3.69153,1.6166666666666667,metro
Pº de la Castellana pares,40.44583,-3.69073,3.2333333333333334,metro
Agustín de Bethancourt,40.4461,-3.69524,5.316666666666666,metro
Edificio acceso RENFE - Raimundo Fernandez Villaverde,40.44483,-3.69175,3.6333333333333333,metro
Ascensor nº5,40.44652,-3.69155,1.7,metro
Ascensor exterior RENFE - Arcadas,40.44657,-3.6921,0.3333333333333333,metro
Ascensor nº6,40.44457,-3.69091,5.533333333333333,metro
Pº de la Castellana pares (Facturacion),40.44437,-3.69094,5.566666666666666,metro
Ascensor exterior RENFE 1 - Raimundo Fernandez Villaverde,40.44517,-3.69199,3.3833333333333333,metro
Edificio acceso RENFE - Raimundo Fernandez Villaverde,40.44624,-3.69368,3.1333333333333333,metro
Los Vascos,40.44707,-3.71023,14.633333333333333,metro
GUZMAN EL BUENO,40.44637,-3.71229,11.583333333333334,metro
General Rodrigo,40.4457,-3.71401,14.683333333333334,metro
Reina Victoria impares - G. el Bueno,40.44598,-3.71321,13.666666666666666,metro
VICENTE ALEIXANDRE,40.44644,-3.71943,13.083333333333334,metro
Gregorio del Amo,40.44619,-3.72003,14.183333333333334,metro
Reina Victoria pares,40.44717,-3.70979,15.05,metro
Facultades,40.44359,-3.72658,16.183333333333334,metro
Avda. Complutense,40.44356,-3.72697,15.633333333333333,metro
CIUDAD UNIVERSITARIA,40.44356,-3.72678,14.683333333333334,metro
PRINCIPE PIO,40.42107,-3.72032,15.883333333333333,metro
Intercambiador,40.42093,-3.72045,17.533333333333335,metro
ARGÜELLES,40.43053,-3.71596,19.066666666666666,metro
Correspondencia RENFE,40.42141,-3.71859,23.566666666666666,metro
Ascensor,40.44363,-3.72687,15.65,metro
Correspondencia RENFE,40.42153,-3.71873,23.8,metro
PUERTA DEL ANGEL,40.4139,-3.72724,24.916666666666668,metro
Centro Comercial,40.42084,-3.71892,22.5,metro
Arcadas,40.42055,-3.71968,21.483333333333334,metro
Caramuel,40.41368,-3.72706,25.5,metro
